query_id,question,gold_chunk_found,recall,mrr,ndcg,context_precision,latency_ms,rank_found,document,page,score,chunk_ids,retrieved_chunks
q1,What poses a big challenge to the financial services industry?,False,0.0,0.0,0.0,0.0,23722.97477722168,-1,N/A,N/A,N/A,fraud.pdf::p1::c0 | fraud.pdf::p2::c3 | fraud.pdf::p2::c2 | fraud.pdf::p4::c17 | fraud.pdf::p5::c20,"Fighting Fraud in Financial 
Services: A Guide to 
Choosing the Right 
Technology Solution 
Abstract
Fraud detection and prevention pose a big 
challenge to the nancial services industry. Banks and nancial institutions typically 
invest signicant time and resources on 
combating fraud and nancial crime. A key 
component of these programs is the software 
solution used to monitor, detect, and report 
suspicious or fraudulent activity within 
nancial institutions.

---

Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below).

---

The Evolving Fraud Landscape
In response to the rising customer demand, banks and nancial 
institutions are investing heavily in enabling digital services 
through multiple channels. This has expanded the attack surface 
and created new vulnerabilities that fraudsters exploit by 
employing sophisticated fraud tactics.

---

Category
Sub-Category
Market potential
Industry experience
Customer support and professional services
Pricing model
Technology coverage
Security and controls
Scalability and performance  
Infrastructure compatibility
Product and services coverage
Advanced analytics
Data and analytics platform
Functional coverage
Scenario coverage
Historical data migration
Upgrade methodology
Reporting coverage
Multi-geography support
Table 1: Capabilities of an Effective Fraud Solution

---

Choosing the right vendor will require banks to undertake a 
comprehensive evaluation process spanning current state 
assessment and demonstrations from vendors based on 
operational, domain, and technical requirements to help 
evaluate and identify the vendor to partner with. Financial 
institutions must therefore adopt solutions capable of handling 
emerging fraud trends to reap substantial returns on 
investment."
q2,Where do banks typically invest significant time and resources?,False,0.0,0.0,0.0,0.0,722.3572731018066,-1,N/A,N/A,N/A,fraud.pdf::p3::c10 | fraud.pdf::p5::c20 | fraud.pdf::p1::c0 | fraud.pdf::p3::c9 | fraud.pdf::p2::c2,"By leveraging high performance computing 
technologies, banks are analyzing massive amounts of data in 
real time and building comprehensive proles of customers that 
can be utilized for investigation of money laundering and fraud 
as well as for surveillance operations. Real-time detection
Adoption of fraud solutions that enable in depth analysis of 
internal and external data for real time fraud identication is 
gaining traction.

---

Choosing the right vendor will require banks to undertake a 
comprehensive evaluation process spanning current state 
assessment and demonstrations from vendors based on 
operational, domain, and technical requirements to help 
evaluate and identify the vendor to partner with. Financial 
institutions must therefore adopt solutions capable of handling 
emerging fraud trends to reap substantial returns on 
investment.

---

Fighting Fraud in Financial 
Services: A Guide to 
Choosing the Right 
Technology Solution 
Abstract
Fraud detection and prevention pose a big 
challenge to the nancial services industry. Banks and nancial institutions typically 
invest signicant time and resources on 
combating fraud and nancial crime. A key 
component of these programs is the software 
solution used to monitor, detect, and report 
suspicious or fraudulent activity within 
nancial institutions.

---

Some emerging trends driving next-gen 
approaches to fraud detection and prevention include: 
Centralized data repository
Banks are establishing centralized data repositories with data 
spanning customer accounts and transaction data from multiple 
channels and product systems as well as external sources such 
as social data.

---

The Evolving Fraud Landscape
In response to the rising customer demand, banks and nancial 
institutions are investing heavily in enabling digital services 
through multiple channels. This has expanded the attack surface 
and created new vulnerabilities that fraudsters exploit by 
employing sophisticated fraud tactics."
q3,What software solution is a key component of financial crime programs?,False,0.0,0.0,0.0,0.0,841.4151668548584,-1,N/A,N/A,N/A,fraud.pdf::p1::c0 | fraud.pdf::p4::c14 | fraud.pdf::p4::c17 | fraud.pdf::p1::c1 | fraud.pdf::p5::c19,"Fighting Fraud in Financial 
Services: A Guide to 
Choosing the Right 
Technology Solution 
Abstract
Fraud detection and prevention pose a big 
challenge to the nancial services industry. Banks and nancial institutions typically 
invest signicant time and resources on 
combating fraud and nancial crime. A key 
component of these programs is the software 
solution used to monitor, detect, and report 
suspicious or fraudulent activity within 
nancial institutions.

---

WHITE PAPER
Making the Right Choice: Evaluating 
Solution Options 
Implementing the right solution is key to nancial crime 
prevention. The core solution engine is a key enabler in 
ensuring effective detection and reporting of fraudulent activities 
to regulators. Thus choosing the right fraud solution vendor 
after a thorough evaluation of critical organizational factors and 
business requirements assumes importance.

---

Category
Sub-Category
Market potential
Industry experience
Customer support and professional services
Pricing model
Technology coverage
Security and controls
Scalability and performance  
Infrastructure compatibility
Product and services coverage
Advanced analytics
Data and analytics platform
Functional coverage
Scenario coverage
Historical data migration
Upgrade methodology
Reporting coverage
Multi-geography support
Table 1: Capabilities of an Effective Fraud Solution

---

This paper highlights 
the critical factors that must be considered in 
selecting the right fraud solution for fraud 
control. WHITE PAPER

---

The Bottom Line
The implementation of a next generation fraud solution will 
deliver myriad benets such as reduced total cost of ownership, 
enhanced staff productivity, and visibility into fraud exposure, 
besides helping rms to protect their reputation and brand. Fraudsters, however, will always nd new ways to commit fraud; 
selecting the right fraud solution thus becomes a critical 
component of the larger nancial crime compliance program."
q4,What does this white paper highlight regarding fraud control?,True,1.0,1.0,1.0,0.2,722.4233150482178,1,fraud.pdf,1,0.65803903,fraud.pdf::p1::c1 | fraud.pdf::p4::c17 | fraud.pdf::p5::c19 | fraud.pdf::p6::c23 | fraud.pdf::p2::c3,"This paper highlights 
the critical factors that must be considered in 
selecting the right fraud solution for fraud 
control. WHITE PAPER

---

Category
Sub-Category
Market potential
Industry experience
Customer support and professional services
Pricing model
Technology coverage
Security and controls
Scalability and performance  
Infrastructure compatibility
Product and services coverage
Advanced analytics
Data and analytics platform
Functional coverage
Scenario coverage
Historical data migration
Upgrade methodology
Reporting coverage
Multi-geography support
Table 1: Capabilities of an Effective Fraud Solution

---

The Bottom Line
The implementation of a next generation fraud solution will 
deliver myriad benets such as reduced total cost of ownership, 
enhanced staff productivity, and visibility into fraud exposure, 
besides helping rms to protect their reputation and brand. Fraudsters, however, will always nd new ways to commit fraud; 
selecting the right fraud solution thus becomes a critical 
component of the larger nancial crime compliance program.

---

WHITE PAPER
References
1. US Securities and Exchange Commission, Citigroup to Pay More Than $10 Million for 
Books and Records Violations and Inadequate Controls, Aug 2018, Nov 2018, 
https://www.sec.gov/news/press-release/2018-155-0 
2. US Department of Justice, Fifteen Individuals Charged in Multi-Million Dollar 
International Money Laundering and Fraud Scheme, Oct 2017, Nov 2018, 
https://www.justice.gov/usao-sd/pr/fteen-individuals-charged-multi-million-dollar-
international-money-laundering-and 
3.

---

Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below)."
q5,How are banks responding to rising customer demand for digital services?,False,0.0,0.0,0.0,0.0,829.3170928955078,-1,N/A,N/A,N/A,fraud.pdf::p2::c2 | fraud.pdf::p3::c13 | fraud.pdf::p3::c12 | fraud.pdf::p5::c20 | fraud.pdf::p2::c3,"The Evolving Fraud Landscape
In response to the rising customer demand, banks and nancial 
institutions are investing heavily in enabling digital services 
through multiple channels. This has expanded the attack surface 
and created new vulnerabilities that fraudsters exploit by 
employing sophisticated fraud tactics.

---

Banks are 
employing a variety of authentication mechanisms that 
seamlessly verify customers’ identity through multiple 
techniques such as voice and speech analytics, desktop 
analytics, and so on.

---

Enterprise case management
Banks are leveraging enterprise case management to improve 
the efciency of investigation workows. Data visualization tools 
for faster decision-making and robotic automation for optimal 
business processes are other common trends being seen. Next-gen authentication mechanisms
Innovative, secure authentication mechanisms that do not 
impact customer experience are being adopted.

---

Choosing the right vendor will require banks to undertake a 
comprehensive evaluation process spanning current state 
assessment and demonstrations from vendors based on 
operational, domain, and technical requirements to help 
evaluate and identify the vendor to partner with. Financial 
institutions must therefore adopt solutions capable of handling 
emerging fraud trends to reap substantial returns on 
investment.

---

Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below)."
q6,What has the expansion of the attack surface created?,True,1.0,1.0,1.0,0.2,737.5705242156982,1,fraud.pdf,2,0.53821987,fraud.pdf::p2::c2 | fraud.pdf::p3::c12 | fraud.pdf::p3::c8 | fraud.pdf::p5::c19 | fraud.pdf::p3::c10,"The Evolving Fraud Landscape
In response to the rising customer demand, banks and nancial 
institutions are investing heavily in enabling digital services 
through multiple channels. This has expanded the attack surface 
and created new vulnerabilities that fraudsters exploit by 
employing sophisticated fraud tactics.

---

Enterprise case management
Banks are leveraging enterprise case management to improve 
the efciency of investigation workows. Data visualization tools 
for faster decision-making and robotic automation for optimal 
business processes are other common trends being seen. Next-gen authentication mechanisms
Innovative, secure authentication mechanisms that do not 
impact customer experience are being adopted.

---

WHITE PAPER
Emerging Trends in Fraud Detection and 
Prevention
Banks are moving away from standalone fraud detection and 
prevention systems to enterprise-wide predictive risk 
assessment frameworks that incorporate analytics and real-time 
detection capabilities.

---

The Bottom Line
The implementation of a next generation fraud solution will 
deliver myriad benets such as reduced total cost of ownership, 
enhanced staff productivity, and visibility into fraud exposure, 
besides helping rms to protect their reputation and brand. Fraudsters, however, will always nd new ways to commit fraud; 
selecting the right fraud solution thus becomes a critical 
component of the larger nancial crime compliance program.

---

By leveraging high performance computing 
technologies, banks are analyzing massive amounts of data in 
real time and building comprehensive proles of customers that 
can be utilized for investigation of money laundering and fraud 
as well as for surveillance operations. Real-time detection
Adoption of fraud solutions that enable in depth analysis of 
internal and external data for real time fraud identication is 
gaining traction."
q7,Why are banks' current fraud detection solutions failing?,False,0.0,0.0,0.0,0.0,659.125804901123,-1,N/A,N/A,N/A,fraud.pdf::p3::c10 | fraud.pdf::p2::c3 | fraud.pdf::p4::c17 | fraud.pdf::p3::c8 | fraud.pdf::p1::c1,"By leveraging high performance computing 
technologies, banks are analyzing massive amounts of data in 
real time and building comprehensive proles of customers that 
can be utilized for investigation of money laundering and fraud 
as well as for surveillance operations. Real-time detection
Adoption of fraud solutions that enable in depth analysis of 
internal and external data for real time fraud identication is 
gaining traction.

---

Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below).

---

Category
Sub-Category
Market potential
Industry experience
Customer support and professional services
Pricing model
Technology coverage
Security and controls
Scalability and performance  
Infrastructure compatibility
Product and services coverage
Advanced analytics
Data and analytics platform
Functional coverage
Scenario coverage
Historical data migration
Upgrade methodology
Reporting coverage
Multi-geography support
Table 1: Capabilities of an Effective Fraud Solution

---

WHITE PAPER
Emerging Trends in Fraud Detection and 
Prevention
Banks are moving away from standalone fraud detection and 
prevention systems to enterprise-wide predictive risk 
assessment frameworks that incorporate analytics and real-time 
detection capabilities.

---

This paper highlights 
the critical factors that must be considered in 
selecting the right fraud solution for fraud 
control. WHITE PAPER"
q8,What happens if banks fail to enforce proper business conduct and internal controls?,False,0.0,0.0,0.0,0.0,930.0105571746826,-1,N/A,N/A,N/A,fraud.pdf::p2::c3 | fraud.pdf::p2::c4 | fraud.pdf::p2::c6 | fraud.pdf::p4::c17 | fraud.pdf::p6::c24,"Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below).

---

n
The Citigroup was ned over $10 million by the Securities 
and Exchange Commission (SEC) over inaccurate books and 
records, inadequate trader supervision, and poor internal 
accounting controls. Lack of adequate controls to verify 
invoices and documents submitted by a borrower resulted in 
1
Citigroup losing around $475 million. n
The US Department of Justice has charged 15 individuals in a 
multi-million dollar international money laundering and fraud 
scheme.

---

What is 
required is a change in the mindset – to embrace risk by 
adopting next-gen solutions based on Big Data and analytics, 
articial intelligence (AI), and machine learning (ML) algorithms 
besides establishing and enforcing strong supervisory controls. Equipped with real-time detection capabilities, such solutions 
will enable banks to respond quickly to suspicious activities, 
proactively prevent fraud, and control and manage nancial risk 
more efciently.

---

Category
Sub-Category
Market potential
Industry experience
Customer support and professional services
Pricing model
Technology coverage
Security and controls
Scalability and performance  
Infrastructure compatibility
Product and services coverage
Advanced analytics
Data and analytics platform
Functional coverage
Scenario coverage
Historical data migration
Upgrade methodology
Reporting coverage
Multi-geography support
Table 1: Capabilities of an Effective Fraud Solution

---

US Department of Justice, Wells Fargo Agrees to Pay $2.09 Billion Penalty for 
Allegedly Misrepresenting Quality of Loans Used in Residential Mortgage-Backed 
Securities, Aug 2018, Nov 2018, https://www.justice.gov/opa/pr/wells-fargo-agrees-
pay-209-billion-penalty-allegedly-misrepresenting-quality-loans-used"
q9,Why was Citigroup fined by the Securities and Exchange Commission?,False,0.0,0.0,0.0,0.0,824.3353366851807,-1,N/A,N/A,N/A,fraud.pdf::p2::c4 | fraud.pdf::p6::c23 | fraud.pdf::p6::c24 | fraud.pdf::p2::c5 | fraud.pdf::p2::c3,"n
The Citigroup was ned over $10 million by the Securities 
and Exchange Commission (SEC) over inaccurate books and 
records, inadequate trader supervision, and poor internal 
accounting controls. Lack of adequate controls to verify 
invoices and documents submitted by a borrower resulted in 
1
Citigroup losing around $475 million. n
The US Department of Justice has charged 15 individuals in a 
multi-million dollar international money laundering and fraud 
scheme.

---

WHITE PAPER
References
1. US Securities and Exchange Commission, Citigroup to Pay More Than $10 Million for 
Books and Records Violations and Inadequate Controls, Aug 2018, Nov 2018, 
https://www.sec.gov/news/press-release/2018-155-0 
2. US Department of Justice, Fifteen Individuals Charged in Multi-Million Dollar 
International Money Laundering and Fraud Scheme, Oct 2017, Nov 2018, 
https://www.justice.gov/usao-sd/pr/fteen-individuals-charged-multi-million-dollar-
international-money-laundering-and 
3.

---

US Department of Justice, Wells Fargo Agrees to Pay $2.09 Billion Penalty for 
Allegedly Misrepresenting Quality of Loans Used in Residential Mortgage-Backed 
Securities, Aug 2018, Nov 2018, https://www.justice.gov/opa/pr/wells-fargo-agrees-
pay-209-billion-penalty-allegedly-misrepresenting-quality-loans-used

---

Bank accounts opened in the names of shell 
corporations were used to perpetrate the fraud of 
2
approximately $94 million. n
The US Department of Justice has imposed a civil penalty of 
$2.09 billion on Wells Fargo under the Financial Institutions, 
Reform, Recovery, and Enforcement Act for originating and 
3 
selling mortgage loans containing misstated income. Clearly, nancial institutions must make a step change in the 
way they approach fraud detection and prevention.

---

Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below)."
q10,How much did Citigroup lose due to inadequate controls for verifying invoices?,False,0.0,0.0,0.0,0.0,802.100658416748,-1,N/A,N/A,N/A,fraud.pdf::p2::c4 | fraud.pdf::p6::c23 | fraud.pdf::p6::c24 | fraud.pdf::p2::c5 | fraud.pdf::p2::c3,"n
The Citigroup was ned over $10 million by the Securities 
and Exchange Commission (SEC) over inaccurate books and 
records, inadequate trader supervision, and poor internal 
accounting controls. Lack of adequate controls to verify 
invoices and documents submitted by a borrower resulted in 
1
Citigroup losing around $475 million. n
The US Department of Justice has charged 15 individuals in a 
multi-million dollar international money laundering and fraud 
scheme.

---

WHITE PAPER
References
1. US Securities and Exchange Commission, Citigroup to Pay More Than $10 Million for 
Books and Records Violations and Inadequate Controls, Aug 2018, Nov 2018, 
https://www.sec.gov/news/press-release/2018-155-0 
2. US Department of Justice, Fifteen Individuals Charged in Multi-Million Dollar 
International Money Laundering and Fraud Scheme, Oct 2017, Nov 2018, 
https://www.justice.gov/usao-sd/pr/fteen-individuals-charged-multi-million-dollar-
international-money-laundering-and 
3.

---

US Department of Justice, Wells Fargo Agrees to Pay $2.09 Billion Penalty for 
Allegedly Misrepresenting Quality of Loans Used in Residential Mortgage-Backed 
Securities, Aug 2018, Nov 2018, https://www.justice.gov/opa/pr/wells-fargo-agrees-
pay-209-billion-penalty-allegedly-misrepresenting-quality-loans-used

---

Bank accounts opened in the names of shell 
corporations were used to perpetrate the fraud of 
2
approximately $94 million. n
The US Department of Justice has imposed a civil penalty of 
$2.09 billion on Wells Fargo under the Financial Institutions, 
Reform, Recovery, and Enforcement Act for originating and 
3 
selling mortgage loans containing misstated income. Clearly, nancial institutions must make a step change in the 
way they approach fraud detection and prevention.

---

Banks’ fraud detection and prevention solutions, on the other 
hand, are unable to keep pace with fraudsters’ shifting 
techniques as evidenced by the rapid rise in cybercrime in the 
nancial services industry. In addition, enforcing proper 
business conduct and ensuring adequate internal supervisory 
procedures and systems to control fraud are key imperatives for 
banks, failing which they are liable to be ned heavily (some 
such instances have been listed below)."
